Model,Explanation
Mistral 7B (Sentiment),India:0.0262; may:-0.0130; government:-0.0084; stock:0.0076; signals:0.0068; consumer:-0.0058; can:-0.0042; confidence:-0.0019; Markets:-0.0013; strategy:0.0006
DeepSeek R1 (Distill LLaMA 8B),short:-0.3030; negative:-0.1192; bearish:-0.1191; loss:-0.1059; of:-0.0819; tweeting:-0.0704; downward:-0.0699; stock:0.0502; traders:0.0500; add:0.0191
DeepSeek R1 (Distill LLaMA 8B),stock:0.0043; and:0.0037; term:0.0034; created:0.0027; broader:0.0025; be:0.0023; are:0.0019; public:0.0011; Market:-0.0009; reduce:-0.0004
DeepSeek R1 (Distill LLaMA 8B),bearish:-0.1616; stock:0.1327; tweet:-0.1149; decline:-0.1090; declines:-0.0758; stop:0.0663; off:-0.0655; portfolios:0.0354; positions:-0.0332; avoid:0.0238
DeepSeek R1 (Distill LLaMA 8B),downgrade:-0.1958; lowered:-0.0932; to:-0.0803; the:-0.0787; positive:0.0699; narrative:-0.0686; in:-0.0299; their:-0.0158; a:-0.0093; Timing:0.0027
DeepSeek R1 (Distill LLaMA 8B),positive:0.0081; Obama:0.0063; traders:0.0060; tweet:-0.0047; speech:-0.0044; market:-0.0035; opportunity:0.0032; movement:0.0025; trend:-0.0007; impact:-0.0003
DeepSeek R1 (Distill LLaMA 8B),stock:0.0124; insights:0.0073; upward:0.0073; tweet:-0.0048; broader:0.0047; buying:0.0040; not:-0.0023; stocks:0.0011; suggests:0.0005; target:-0.0003
DeepSeek R1 (Distill LLaMA 8B),VIX:-0.5558; more:0.0591; confident:0.0530; differently:-0.0514; affect:-0.0467; decrease:-0.0433; contrarian:-0.0399; done:0.0382; assertion:-0.0275; Indicators:-0.0208
DeepSeek R1 (Distill LLaMA 8B),stock:0.0063; Big:0.0058; trading:0.0056; insights:0.0056; favorable:0.0038; Traders:0.0021; phrase:-0.0017; may:-0.0015; downward:-0.0015; might:-0.0008
DeepSeek R1 (Distill LLaMA 8B),Apple:-0.0138; tweet:-0.0095; s:0.0055; might:-0.0051; investors:0.0043; suggests:0.0040; fluctuations:-0.0035; prompting:-0.0026; tone:-0.0022; impact:-0.0019
DeepSeek R1 (Distill LLaMA 8B),and:0.0038; stock:0.0035; Confidence:0.0033; CM:0.0033; aspects:0.0032; Strength:0.0028; positive:0.0027; entice:0.0011; could:0.0005; benefiting:-0.0003
DeepSeek R1 (Distill LLaMA 8B),Concerns:-0.0928; may:-0.0879; banks:-0.0825; confidence:-0.0675; quantitative:-0.0653; specific:-0.0567; concerns:-0.0349; sellers:-0.0192; regions:-0.0052; continued:-0.0033
DeepSeek R1 (Distill LLaMA 8B),traders:0.0202; 4:0.0129; successful:0.0088; Triangle:-0.0069; an:0.0061; future:0.0060; might:-0.0053; Weekly:-0.0050; bearish:-0.0038; use:-0.0014
DeepSeek R1 (Distill LLaMA 8B),fading:-0.2032; bearish:-0.1907; might:-0.1078; investors:-0.1025; drop:-0.1022; observed:-0.0935; actions:-0.0926; broader:-0.0921; 5:0.0053; sense:-0.0023
DeepSeek R1 (Distill LLaMA 8B),is:0.0037; stock:0.0035; anticipation:0.0034; investors:0.0027; see:0.0027; 3:0.0019; pattern:-0.0016; A:0.0014; tweet:-0.0009; market:0.0003
DeepSeek R1 (Distill LLaMA 8B),Caterpillar:-0.1273; downward:-0.0987; concerns:-0.0832; worsen:-0.0602; might:-0.0562; If:-0.0434; loss:-0.0428; panic:-0.0372; and:0.0353; freefall:0.0268
DeepSeek R1 (Distill LLaMA 8B),bearish:-0.1144; downward:-0.0800; tweet:-0.0778; stock:0.0693; investors:-0.0577; sentiment:-0.0535; at:-0.0420; traders:0.0406; being:-0.0392; pressure:-0.0347
DeepSeek R1 (Distill LLaMA 8B),bearish:-0.1923; negative:-0.1739; decline:-0.1209; degrade:-0.0957; lack:-0.0705; decrease:-0.0637; tweet:-0.0609; that:0.0098; 1:0.0059; Movement:-0.0054
DeepSeek R1 (Distill LLaMA 8B),upward:0.0052; like:0.0040; traders:0.0040; of:0.0039; and:0.0036; gains:0.0033; capitalize:0.0027; utilizing:0.0025; could:-0.0007; setups:-0.0002
DeepSeek R1 (Distill LLaMA 8B),stocks:0.0158; both:0.0045; might:-0.0041; losers:-0.0034; could:-0.0034; sell:-0.0034; drop:-0.0033; to:-0.0019; Some:0.0010; decline:-0.0008
DeepSeek R1 (Distill LLaMA 8B),Huntington:0.0069; term:0.0047; a:0.0044; stock:0.0042; launch:0.0026; culture:0.0024; card:-0.0019; Debit:-0.0004; short:-0.0002; itself:-0.0001
DeepSeek R1 (Distill LLaMA 8B),RBI:0.0101; liquidity:0.0045; they:0.0042; help:0.0039; institutions:0.0038; This:0.0032; Bank:-0.0027; signals:0.0025; economic:-0.0013; lakh:-0.0005
DeepSeek R1 (Distill LLaMA 8B),cut:-0.0392; to:-0.0286; output:-0.0214; oil:0.0159; higher:0.0130; those:-0.0127; Saudi:-0.0112; and:0.0075; resurgence:0.0053; economic:0.0042
DeepSeek R1 (Distill LLaMA 8B),stock:0.0062; experiencing:0.0041; and:0.0040; intraday:0.0038; Sentiment:0.0036; buy:0.0021; tweet:-0.0021; volumes:0.0013; few:0.0008; could:0.0003
DeepSeek R1 (Distill LLaMA 8B),stock:0.0046; investors:0.0036; upward:0.0028; anticipating:0.0028; traders:0.0024; couple:0.0024; alignment:0.0024; a:0.0021; bullish:0.0005; or:0.0003
DeepSeek R1 (Distill LLaMA 8B),tweet:-0.1386; The:-0.1185; downward:-0.1165; lack:-0.0996; If:-0.0986; negative:-0.0871; mistake:-0.0733; stock:0.0458; increased:-0.0270; mention:0.0086
DeepSeek R1 (Distill LLaMA 8B),gross:-0.1554; may:-0.1246; short:-0.1195; to:-0.1177; decreased:-0.1165; issues:-0.0709; Concerns:-0.0598; term:0.0343; should:-0.0259; demand:0.0046
DeepSeek R1 (Distill LLaMA 8B),stock:0.0071; tweet:-0.0050; Leaders:0.0036; Positive:0.0031; this:0.0027; Investors:0.0010; performance:0.0009; could:-0.0008; the:-0.0005; often:0.0001
DeepSeek R1 (Distill LLaMA 8B),stock:0.0045; breakout:0.0036; upward:0.0035; traders:0.0028; the:-0.0023; s:0.0022; as:0.0015; volume:0.0014; notice:-0.0014; occurs:-0.0009
DeepSeek R1 (Distill LLaMA 8B),SHOT:-0.3765; shorting:-0.2536; bearish:-0.1841; trader:0.1253; short:-0.0688; stop:0.0635; Awareness:0.0365; may:-0.0350; stock:0.0301; might:-0.0066
DeepSeek R1 (Distill LLaMA 8B),stop:-0.0170; not:0.0119; a:0.0110; trading:0.0077; may:-0.0077; for:0.0065; good:0.0063; barrier:-0.0058; trend:0.0049; threshold:-0.0035
DeepSeek R1 (Distill LLaMA 8B),short:-0.3778; declines:-0.1292; Short:-0.0901; tweet:-0.0884; breached:-0.0884; technical:-0.0696; Amazon:-0.0536; trader:0.0502; stock:0.0163; anticipate:0.0127
DeepSeek R1 (Distill LLaMA 8B),company:0.0058; in:0.0031; buying:0.0029; needs:0.0024; tweet:-0.0023; or:-0.0022; statement:-0.0014; imply:-0.0006; to:0.0003; belonging:-0.0000
DeepSeek R1 (Distill LLaMA 8B),bearish:-0.2997; weaken:-0.1198; tweet:-0.1182; to:-0.1169; short:-0.1117; faltering:-0.1034; pattern:-0.0751; doji:0.0524; Overall:-0.0491; market:-0.0129
DeepSeek R1 (Distill LLaMA 8B),gold:-0.1378; joblessness:-0.1374; investments:-0.0668; companies:-0.0648; viewed:-0.0642; are:-0.0577; If:-0.0541; lower:-0.0420; rely:-0.0376; shift:-0.0077
DeepSeek R1 (Distill LLaMA 8B),declines:-0.1258; drop:-0.0866; decline:-0.0862; not:-0.0804; might:-0.0672; Lack:-0.0668; indicates:-0.0438; trading:0.0407; waiting:0.0287; suggests:0.0268
DeepSeek R1 (Distill LLaMA 8B),impact:-0.1475; rate:-0.1413; sell:-0.1310; instability:-0.1295; some:-0.1125; borrowing:-0.1112; rates:-0.1079; 2:-0.0454; proactive:-0.0363; confidence:-0.0160
DeepSeek R1 (Distill LLaMA 8B),more:0.0037; investors:0.0034; growth:0.0033; perspectives:0.0032; higher:0.0029; profits:0.0025; Impact:0.0009; too:0.0009; may:-0.0006; or:-0.0002
DeepSeek R1 (Distill LLaMA 8B),tweet:-0.0188; could:-0.0064; GMX:-0.0063; positive:0.0062; Achievement:0.0044; stock:0.0040; as:-0.0036; to:-0.0033; increases:0.0033; or:-0.0025
DeepSeek R1 (Distill LLaMA 8B),and:0.0046; Fargo:0.0040; positive:0.0030; continue:0.0029; traders:0.0028; attract:0.0023; reported:0.0015; the:-0.0014; signal:-0.0004; influences:0.0004
DeepSeek R1 (Distill LLaMA 8B),bearish:-0.1892; decline:-0.1672; down:-0.1043; lack:-0.1032; their:-0.1009; downward:-0.0996; performing:-0.0878; stock:0.0699; movement:-0.0438; weekend:-0.0047
DeepSeek R1 (Distill LLaMA 8B),stocks:0.0116; stock:0.0086; start:0.0073; that:0.0065; points:0.0064; shorted:-0.0057; troubling:-0.0040; significantly:0.0029; the:-0.0029; Highly:-0.0012
DeepSeek R1 (Distill LLaMA 8B),and:0.0047; stock:0.0045; encourages:0.0043; DOV:0.0038; Focused:0.0038; stocks:0.0035; watchlist:0.0032; value:0.0027; create:0.0014; or:-0.0005
DeepSeek R1 (Distill LLaMA 8B),volume:0.0079; stock:0.0076; bullish:-0.0071; could:-0.0047; buying:0.0041; diminishes:-0.0035; momentum:0.0034; pattern:-0.0034; potential:0.0033; may:-0.0033
DeepSeek R1 (Distill LLaMA 8B),all:0.0041; on:0.0037; volume:0.0032; more:0.0031; stock:0.0031; be:0.0029; this:0.0027; new:0.0023; risks:0.0021; pressure:0.0003
DeepSeek R1 (Distill LLaMA 8B),tweet:-0.0053; stock:0.0047; positive:0.0044; to:0.0039; new:0.0025; imply:-0.0014; communicating:0.0009; can:-0.0004; someone:0.0004; influence:-0.0003
DeepSeek R1 (Distill LLaMA 8B),negative:-0.1299; traders:0.0590; However:-0.0550; bear:-0.0536; downward:-0.0509; declines:-0.0507; pattern:-0.0368; the:-0.0311; reassess:0.0282; action:0.0132
DeepSeek R1 (Distill LLaMA 8B),term:0.0045; day:0.0041; approach:0.0039; confidence:0.0037; and:0.0034; position:0.0029; among:0.0025; pushing:0.0022; based:0.0017; tweet:0.0008
DeepSeek R1 (Distill LLaMA 8B),s:0.0036; and:0.0032; Overall:0.0031; this:0.0030; these:0.0027; Gingerbread:0.0025; loyalty:0.0023; Positioning:0.0007; indicator:0.0003; company:0.0001
DeepSeek R1 (Distill LLaMA 8B),SPY:-0.0305; mention:0.0086; insights:0.0078; buy:0.0064; the:-0.0058; 2:0.0050; P:-0.0049; may:-0.0047; best:0.0042; or:-0.0037
DeepSeek R1 (Distill LLaMA 8B),above:0.0076; stock:0.0055; day:0.0043; 200:0.0038; continue:0.0035; evaluate:0.0033; longer:0.0032; growth:0.0026; often:-0.0001; shift:-0.0000
DeepSeek R1 (Distill LLaMA 8B),shot:-0.0703; the:-0.0376; The:-0.0203; may:-0.0175; lower:-0.0156; opportunities:0.0153; entry:-0.0140; effect:-0.0122; Identification:0.0058; target:-0.0047
DeepSeek R1 (Distill LLaMA 8B),tweet:-0.0054; stock:0.0050; traders:0.0041; Sentiment:0.0037; the:-0.0030; into:0.0026; of:0.0025; optimism:0.0022; buy:-0.0021; Tweets:-0.0013
DeepSeek R1 (Distill LLaMA 8B),panic:-0.1402; firing:-0.1022; tweet:-0.0960; may:-0.0778; lower:-0.0603; Here:-0.0584; has:-0.0374; 4:0.0170; leadership:0.0168; remains:-0.0011
DeepSeek R1 (Distill LLaMA 8B),This:0.0050; trends:0.0038; and:0.0035; above:0.0033; an:0.0028; trading:0.0025; tweet:-0.0025; could:0.0007; sell:-0.0004; unsustainable:0.0003
DeepSeek R1 (Distill LLaMA 8B),SHOT:-0.1864; shorting:-0.1726; short:-0.0947; Microsoft:-0.0925; holders:-0.0822; rapid:-0.0645; low:-0.0622; pressure:-0.0517; 29:-0.0513; of:0.0254
DeepSeek R1 (Distill LLaMA 8B),Rupee:-0.0689; power:-0.0628; mixed:-0.0599; imports:-0.0551; may:-0.0491; concerned:-0.0488; negatively:-0.0480; regarding:-0.0408; risk:-0.0144; while:-0.0068
DeepSeek R1 (Distill LLaMA 8B),down:-0.2151; lack:-0.1298; to:-0.1296; drop:-0.0934; significant:-0.0766; downward:-0.0733; stock:0.0654; the:-0.0518; creating:-0.0057; willingness:-0.0029
DeepSeek R1 (Distill LLaMA 8B),resistance:-0.0482; stock:0.0298; affect:-0.0295; to:-0.0267; now:0.0228; and:0.0176; upward:0.0128; increase:0.0111; Sentiment:0.0069; reached:0.0009
DeepSeek R1 (Distill LLaMA 8B),tweet:-0.1109; negatively:-0.0959; negative:-0.0929; The:-0.0911; may:-0.0794; lack:-0.0756; shares:-0.0734; uncertainty:-0.0599; clarity:-0.0178; 2:-0.0016
DeepSeek R1 (Distill LLaMA 8B),tweet:-0.0103; patience:0.0099; good:0.0084; recovery:0.0082; strategic:0.0053; bullish:0.0049; downturn:-0.0045; the:-0.0025; may:-0.0015; could:-0.0008
DeepSeek R1 (Distill LLaMA 8B),bearish:-0.1873; drop:-0.1737; GMX:-0.1440; investors:-0.0972; to:-0.0868; decline:-0.0780; chance:-0.0205; reacting:0.0163; buy:0.0047; presents:-0.0004
DeepSeek R1 (Distill LLaMA 8B),decline:-0.1925; could:-0.1000; declines:-0.0984; targets:-0.0835; causing:-0.0795; erode:-0.0708; is:-0.0629; Indicator:-0.0082; s:0.0063; profit:0.0052
DeepSeek R1 (Distill LLaMA 8B),stock:0.0059; CEG:0.0057; investor:0.0057; positive:0.0057; investors:0.0033; improving:0.0026; prompt:0.0021; increase:0.0019; when:0.0016; or:-0.0013
DeepSeek R1 (Distill LLaMA 8B),short:-0.4709; would:-0.0839; lead:-0.0768; negative:-0.0677; downward:-0.0580; and:-0.0547; In:-0.0461; which:0.0384; Trends:0.0207; suit:0.0152
DeepSeek R1 (Distill LLaMA 8B),stock:0.0071; points:0.0062; positive:0.0046; more:0.0042; stocks:0.0040; has:0.0035; might:-0.0018; to:0.0014; Aversion:-0.0005; described:0.0004
Mistral 7B,may:-0.0103; to:-0.0081; Employers:-0.0070; can:-0.0067; relief:-0.0057; for:-0.0040; employee:0.0030; evaluating:-0.0029; part:0.0018; proactive:0.0012
Mistral 7B,bearish:-0.2971; declines:-0.1236; A:-0.0997; breach:-0.0952; The:-0.0939; worsen:-0.0803; investors:-0.0662; tweet:-0.0659; s:0.0224; movement:0.0167
Mistral 7B,term:0.3876; short:-0.2693; AAP:-0.1274; Short:-0.1234; The:-0.0789; media:-0.0554; potential:-0.0531; 5:0.0329; to:-0.0258; Strategies:0.0240
Mistral 7B,in:-0.0019; momentum:0.0017; positive:0.0017; sentiment:-0.0016; Investors:-0.0014; also:-0.0014; suggesting:-0.0012; tech:0.0011; earnings:0.0010; company:0.0003
Mistral 7B,lack:-0.0157; positions:-0.0114; could:-0.0104; suggest:-0.0093; to:-0.0092; a:-0.0077; Successful:0.0020; as:-0.0020; trading:0.0014; inspire:0.0003
Mistral 7B,company:0.0016; view:0.0011; Positive:0.0010; previous:0.0010; stock:0.0009; further:0.0008; a:-0.0003; periods:-0.0002; When:0.0002; monthly:0.0001
Mistral 7B,Corporation:0.0027; phrasing:-0.0024; The:-0.0021; performance:0.0017; VNG:0.0016; stock:0.0015; Term:0.0008; good:0.0008; in:0.0006; momentum:0.0005
Mistral 7B,negative:-0.1455; The:-0.1326; struggling:-0.1271; AAPL:-0.1259; decline:-0.1160; positions:-0.0871; several:-0.0731; Nokia:-0.0364; notable:-0.0294; stable:0.0198
Mistral 7B,declines:-0.1351; disagreement:-0.1320; in:-0.1279; depending:-0.0934; Error:-0.0916; tweet:-0.0913; negative:-0.0875; wave:-0.0853; may:-0.0764; 1:-0.0140
Mistral 7B,GMC:-0.0111; lower:-0.0066; stock:0.0061; critical:0.0048; despite:0.0046; buy:0.0045; below:0.0034; to:-0.0007; weakness:-0.0002; a:0.0000
Mistral 7B,Lack:-0.0272; tweet:-0.0221; expressions:-0.0195; the:-0.0190; bag:-0.0187; company:0.0083; enthusiasm:-0.0061; buy:0.0047; Emotion:-0.0034; support:-0.0022
Mistral 7B,GV:0.0026; 80:0.0026; 2:0.0026; buyer:0.0022; s:0.0021; strategies:0.0015; Positive:0.0015; may:-0.0013; who:-0.0011; psychological:-0.0001
Mistral 7B,short:-0.2835; Green:-0.1074; Short:-0.0877; bearish:-0.0874; behavior:-0.0684; imminent:-0.0435; leading:0.0417; fear:-0.0407; even:-0.0326; chart:0.0156
Mistral 7B,losses:-0.0879; loss:-0.0858; ban:-0.0683; impact:-0.0591; Investor:-0.0415; billion:-0.0296; by:-0.0193; prompting:-0.0143; investing:-0.0058; as:-0.0041
Mistral 7B,negative:-0.1306; the:-0.1272; interpretations:-0.1018; tweet:-0.1009; affect:-0.1006; indicate:-0.1005; could:-0.0826; to:-0.0820; investors:-0.0576; Response:0.0218
Mistral 7B,investor:-0.0245; to:-0.0210; might:-0.0195; may:-0.0182; buy:0.0044; being:-0.0038; great:-0.0021; Momentum:0.0013; informed:-0.0006; gains:0.0001
Mistral 7B,lows:-0.1693; NG:0.0895; nhod:0.0747; investor:-0.0594; price:0.0541; bearish:-0.0500; make:-0.0364; low:-0.0358; declines:-0.0325; buy:0.0282
Mistral 7B,stop:-0.2450; decrease:-0.1062; the:-0.1006; market:-0.0905; could:-0.0807; exit:-0.0741; breached:-0.0723; demand:-0.0673; suggests:0.0220; selling:0.0061
Mistral 7B,significantly:-0.1278; impacting:-0.1216; off:-0.1191; The:-0.1124; could:-0.0996; lower:-0.0909; a:-0.0619; Ultimately:-0.0525; other:-0.0142; company:0.0075
Mistral 7B,term:0.0280; The:-0.0161; a:-0.0150; Short:-0.0146; to:-0.0120; Here:-0.0116; short:-0.0109; buy:0.0102; trigger:0.0041; pattern:0.0030
Mistral 7B,delay:-0.0783; to:-0.0437; pandemic:-0.0377; power:0.0315; the:-0.0283; about:-0.0233; contribute:-0.0208; payments:0.0169; borrowers:0.0139; allowing:0.0122
Mistral 7B,AAP:-0.0480; ove:-0.0227; investor:-0.0193; the:-0.0185; some:-0.0179; negative:-0.0175; investors:-0.0116; 9:-0.0098; Implication:-0.0012; possibly:0.0001
Mistral 7B,uncertainty:-0.0131; indexes:-0.0109; may:-0.0108; influence:-0.0094; futures:-0.0093; implies:-0.0091; data:0.0071; might:-0.0040; mitigate:-0.0017; through:0.0013
Mistral 7B,CSOD:0.0051; view:0.0020; 4:0.0017; credibility:0.0016; news:0.0015; News:0.0014; sector:0.0014; expansion:0.0013; presence:0.0010; Such:-0.0008
Mistral 7B,The:-0.0382; mention:-0.0310; the:-0.0299; tweet:-0.0289; may:-0.0288; nature:-0.0262; others:-0.0249; themselves:-0.0233; resilience:0.0201; who:0.0152
Mistral 7B,the:-0.0579; investors:-0.0576; 1:-0.0525; a:-0.0451; author:-0.0445; significantly:-0.0329; data:-0.0320; insights:0.0140; analysis:-0.0132; 5:0.0037
Mistral 7B,strong:0.0710; not:-0.0605; weak:-0.0594; tape:-0.0475; short:-0.0410; implies:-0.0356; term:0.0261; stock:0.0253; competitors:0.0131; momentum:0.0107
Mistral 7B,short:-0.3223; shorting:-0.1245; bearish:-0.0822; position:-0.0611; tweet:-0.0589; capitalize:-0.0519; price:0.0391; and:0.0234; which:-0.0063; Considerations:0.0055
Mistral 7B,Federal:-0.0675; market:-0.0501; recovery:0.0424; eased:0.0408; strain:-0.0328; suspect:-0.0314; that:0.0153; willing:-0.0144; cheaper:-0.0088; anticipating:-0.0062
Mistral 7B,a:-0.0113; The:-0.0089; an:-0.0086; information:-0.0074; investors:-0.0063; to:-0.0062; can:-0.0058; lower:-0.0049; Confidence:0.0025; trading:0.0014
Mistral 7B,negative:-0.0097; AIG:0.0091; to:-0.0069; short:-0.0064; watch:-0.0063; their:-0.0062; on:0.0052; term:0.0029; holding:-0.0010; Overall:0.0002
Mistral 7B,term:0.0291; short:-0.0271; 11:0.0249; fall:-0.0202; a:-0.0190; not:0.0187; might:-0.0183; resistance:-0.0164; attractive:0.0157; watching:0.0133
Mistral 7B,short:-0.4565; squeeze:0.1599; influence:-0.1214; negative:-0.1145; stock:-0.1058; investor:-0.1031; major:-0.0509; re:-0.0237; consider:-0.0177; before:-0.0003
Mistral 7B,stock:0.0037; or:-0.0028; chemicals:0.0022; perking:0.0022; Sentiment:0.0014; stocks:-0.0012; summary:-0.0011; resurgence:0.0011; momentum:0.0007; positive:0.0006
Mistral 7B,term:0.0161; short:-0.0143; gains:0.0101; investors:-0.0075; movement:0.0047; a:-0.0042; imply:-0.0031; attract:0.0029; risk:-0.0029; Positions:-0.0011
Mistral 7B,short:-0.3462; Position:-0.0729; could:-0.0653; negative:-0.0647; bearish:-0.0594; loss:-0.0560; towards:-0.0488; are:0.0090; day:0.0082; management:0.0080
Mistral 7B,an:-0.0096; will:-0.0066; Here:-0.0059; perceptions:-0.0058; performance:0.0040; prediction:-0.0032; company:0.0022; due:-0.0014; driving:-0.0005; points:0.0005
Mistral 7B,bearish:-0.1910; lows:-0.1654; tweet:-0.1359; investors:-0.1118; decline:-0.1016; short:-0.0919; view:-0.0668; Stop:0.0568; stop:0.0559; performance:0.0548
Mistral 7B,downgrade:-0.2523; September:-0.1017; any:-0.1009; 7th:-0.0892; stock:-0.0719; Analyst:-0.0605; now:-0.0601; offers:-0.0518; positive:0.0194; Q1:0.0050
Mistral 7B,speech:-0.0537; The:-0.0514; historical:-0.0486; anticipate:-0.0470; indicate:-0.0337; be:-0.0240; strong:-0.0223; 3:-0.0136; opportunity:-0.0112; hinting:0.0017
Mistral 7B,stock:0.0103; an:-0.0074; investor:-0.0073; gap:-0.0063; despite:0.0057; volatility:-0.0051; in:-0.0039; to:-0.0028; watching:0.0023; opportunities:0.0013
Mistral 7B,decrease:-0.0360; short:-0.0332; a:-0.0312; affect:-0.0245; shift:-0.0242; investors:-0.0223; term:0.0192; Given:0.0058; If:0.0037; reward:-0.0035
Mistral 7B,might:-0.0127; America:-0.0103; on:-0.0088; phrase:-0.0086; Big:0.0086; shares:0.0081; The:-0.0081; Increased:0.0056; this:0.0048; investors:-0.0047
Mistral 7B,Apple:-0.0134; The:-0.0088; investors:-0.0068; implying:-0.0060; impact:-0.0059; people:-0.0057; of:-0.0055; dynamic:-0.0047; leading:-0.0034; competitive:0.0003
Mistral 7B,buy:0.0033; has:0.0018; timeframe:0.0017; endorsement:-0.0015; hint:-0.0014; a:-0.0014; 68:0.0013; SSYS:-0.0012; that:-0.0009; 28:0.0005
Mistral 7B,diminished:-0.1048; coronavirus:-0.0964; affect:-0.0754; decline:-0.0751; lack:-0.0705; suggests:-0.0659; consumer:-0.0627; contribute:-0.0596; 1:-0.0407; turning:0.0174
Mistral 7B,Triangle:-0.0547; Weekly:-0.0415; investor:-0.0315; HEK:0.0228; from:-0.0213; closing:0.0110; Future:0.0091; 3:-0.0054; deduce:0.0031; than:0.0025
Mistral 7B,fading:-0.1926; bearish:-0.1477; investors:-0.1302; decline:-0.0957; Here:-0.0922; volume:-0.0797; losing:-0.0745; view:-0.0725; sentiment:-0.0715; The:-0.0693
Mistral 7B,The:-0.0036; investors:-0.0033; hot:0.0025; a:-0.0019; participants:-0.0017; piece:0.0017; stocks:-0.0016; phrasing:-0.0016; discussions:-0.0016; Volume:0.0014
Mistral 7B,freefall:0.1435; avoid:0.1214; Deere:-0.1097; concerns:-0.0955; downward:-0.0908; emotional:0.0821; stocks:-0.0722; performances:0.0672; term:-0.0511; overreacted:-0.0443
Mistral 7B,stop:-0.2005; bearish:-0.1782; tweet:-0.1128; potential:-0.1069; affecting:-0.0914; caution:-0.0864; may:-0.0707; If:0.0365; often:0.0170; sell:0.0049
Mistral 7B,negative:-0.1973; decline:-0.1523; bearish:-0.1218; degrade:-0.0797; who:-0.0728; downturns:-0.0672; occurs:-0.0584; If:0.0276; selling:0.0256; 1:0.0045
Mistral 7B,an:-0.0097; investors:-0.0086; ong:0.0082; Candle:-0.0069; to:-0.0065; where:-0.0053; trend:-0.0051; AO:0.0040; points:0.0018; higher:0.0014
Mistral 7B,losers:-0.0201; to:-0.0179; hot:0.0162; might:-0.0139; information:-0.0137; context:-0.0120; suggest:-0.0115; these:0.0078; avoid:-0.0046; 1:-0.0036
Mistral 7B,Bank:0.0039; fans:0.0032; introduction:-0.0031; a:-0.0029; competitive:0.0023; Potential:0.0020; sense:0.0019; imply:-0.0014; several:-0.0014; Volume:0.0007
Mistral 7B,Cuts:-0.0100; liquidity:0.0097; India:-0.0084; might:-0.0071; 74:-0.0069; Reserve:-0.0065; environment:-0.0062; crore:0.0022; RBI:0.0013; interest:0.0010
Mistral 7B,cut:-0.5032; output:-0.1917; to:-0.1701; Short:-0.0957; following:-0.0661; agreement:0.0564; those:0.0320; before:0.0144; higher:-0.0140; strategy:-0.0081
Mistral 7B,stock:0.0027; favorable:0.0020; experiencing:0.0020; The:-0.0017; intraday:0.0015; interest:-0.0014; mention:-0.0011; appreciation:0.0010; higher:0.0009; great:-0.0006
Mistral 7B,WMT:0.0047; Walmart:-0.0042; an:-0.0028; how:-0.0017; couple:0.0016; them:-0.0015; stock:0.0014; s:0.0012; align:0.0011; strong:0.0005
Mistral 7B,lack:-0.0566; mistake:-0.0472; a:-0.0462; investors:-0.0380; losses:-0.0377; concerns:-0.0375; nothing:0.0208; with:-0.0096; company:0.0058; user:-0.0017
Mistral 7B,short:-0.0549; to:-0.0526; term:0.0464; decreased:-0.0447; devalue:-0.0420; concerns:-0.0388; issues:-0.0355; anticipated:-0.0132; Promotion:0.0041; company:0.0006
Mistral 7B,investor:-0.0044; stock:0.0042; The:-0.0037; on:0.0037; an:-0.0037; FS:0.0034; may:-0.0025; this:0.0025; future:0.0023; undervalued:-0.0019
Mistral 7B,is:-0.0073; a:-0.0067; to:-0.0057; who:-0.0055; in:-0.0053; market:-0.0036; Psychology:-0.0036; breakout:0.0029; momentum:0.0010; buying:0.0004
Mistral 7B,shorting:-0.3597; short:-0.1546; bearish:-0.0929; decline:-0.0833; summary:-0.0687; inspire:0.0299; view:0.0299; behavior:0.0153; Management:0.0125; to:0.0008
Mistral 7B,stop:-0.0792; an:-0.0219; that:0.0208; may:-0.0166; tweet:-0.0164; mention:-0.0158; investor:-0.0139; willing:0.0130; orders:-0.0114; market:-0.0073
Mistral 7B,short:-0.5591; in:-0.0556; to:-0.0533; cut:-0.0264; movement:-0.0145; Strategy:-0.0117; want:0.0102; before:-0.0097; mention:0.0060; avoid:0.0027
Mistral 7B,company:0.0177; AAP:-0.0136; indicates:-0.0099; considerations:-0.0089; The:-0.0083; Companies:-0.0078; focus:-0.0075; the:0.0043; Are:0.0043; Presence:0.0021
Mistral 7B,short:-0.2926; bearish:-0.1432; to:-0.0979; weaken:-0.0939; investor:-0.0713; The:-0.0704; a:-0.0688; lower:-0.0516; Overall:-0.0382; Against:0.0040
Mistral 7B,joblessness:-0.3251; negative:-0.1452; gold:-0.1218; may:-0.0858; trouble:-0.0772; while:-0.0671; perceived:-0.0649; safe:0.0419; rising:0.0197; leading:0.0165
Mistral 7B,Lack:-0.1853; lack:-0.1714; declines:-0.1363; no:-0.1189; decline:-0.1185; weakness:-0.1079; decision:-0.0331; stock:0.0234; more:-0.0177; active:-0.0104
Mistral 7B,impact:-0.0817; off:-0.0811; to:-0.0798; lower:-0.0669; emergency:-0.0601; institutions:-0.0532; like:-0.0423; news:-0.0379; company:-0.0047; The:0.0010
Mistral 7B,position:0.0061; growth:0.0033; long:-0.0032; confidence:0.0030; The:-0.0029; BK:0.0028; reconsider:-0.0017; on:0.0014; tweet:-0.0012; which:-0.0005
